actual_dtg,budget_mojo,domestic total gross,genre,movie title,rating,release date,runtime (mins),budget_imdb,imdbscore,metascore,title,budget
293506292,40000000.0,508999500,Horror,The Sixth Sense,PG-13,1999-08-06,107,0.0,8.1,64.0,The Sixth Sense,40000000.0
134218018,55000000.0,507045800,Action / Adventure,Superman,PG,1978-12-15,143,55000000.0,7.3,86.0,Superman,55000000.0
503860035,160000000.0,503860000,Fantasy,Beauty and the Beast,PG,2017-03-17,129,160000000.0,7.5,65.0,Beauty and the Beast,160000000.0
218967620,25000000.0,309096900,Animation,Beauty and the Beast,G,1991-11-15,84,25000000.0,8.0,95.0,Beauty and the Beast,25000000.0
177200000,21000000.0,503030800,Comedy,Tootsie,PG,1982-12-17,119,22000000.0,7.4,87.0,Tootsie,21000000.0
126737428,0.0,502403100,Action Comedy,Smokey and the Bandit,PG,1977-05-27,96,4300000.0,6.9,,Smokey and the Bandit,4300000.0
486295561,0.0,496437500,Animation,Finding Dory,PG,2016-06-17,103,200000000.0,7.4,77.0,Finding Dory,200000000.0
43656822,6000000.0,494777300,Musical,West Side Story,Unrated,1961-10-18,151,43650000.0,7.6,,West Side Story,6000000.0
317575550,125000000.0,494270700,Fantasy,Harry Potter and the Sorcerer's Stone,PG,2001-11-16,153,125000000.0,7.5,64.0,Harry Potter and the Sorcerer's Stone,125000000.0
93602326,4000000.0,335850400,Animation,Lady and the Tramp,G,1955-06-22,75,4000000.0,7.3,,Lady and the Tramp,4000000.0
132088635,20000000.0,439716200,Sci-Fi,Close Encounters of the Third Kind,PG,1977-11-16,137,20000000.0,7.7,92.0,Close Encounters of the Third Kind,20000000.0
44824144,0.0,473513200,Historical Epic,Lawrence of Arabia,PG,1962-12-21,216,15000000.0,8.3,100.0,Lawrence of Arabia,15000000.0
112892319,0.0,486813700,Musical,The Rocky Horror Picture Show,R,1975-09-26,100,1200000.0,7.4,58.0,The Rocky Horror Picture Show,1200000.0
117235147,0.0,486553400,Sports Drama,Rocky,PG,1976-11-21,119,117235247.0,8.1,69.0,Rocky,117235247.0
23650000,0.0,486200000,Drama,The Best Years of Our Lives,Unrated,1946-11-21,172,23650000.0,8.1,,The Best Years of Our Lives,23650000.0
84563118,0.0,485333300,Action Drama,The Poseidon Adventure,PG,1972-12-13,117,93300000.0,7.1,,The Poseidon Adventure,93300000.0
315544750,93000000.0,481512600,Fantasy,The Lord of the Rings: The Fellowship of the Ring,PG-13,2001-12-19,178,93000000.0,8.8,92.0,The Lord of the Rings: The Fellowship of the Ring,93000000.0
241721524,92000000.0,483443100,Action Drama,Twister,PG-13,1996-05-10,113,92000000.0,6.3,68.0,Twister,92000000.0
250690539,90000000.0,482811400,Sci-Fi Comedy,Men in Black,PG-13,1997-07-02,97,90000000.0,7.3,71.0,Men in Black,90000000.0
27200000,3000000.0,480896000,War Drama,The Bridge on the River Kwai,PG,1957-12-18,161,27200000.0,8.2,,The Bridge on the River Kwai,3000000.0
402111870,200000000.0,476484200,Sci-Fi Action,Transformers: Revenge of the Fallen,PG-13,2009-06-24,144,200000000.0,6.0,35.0,Transformers: Revenge of the Fallen,200000000.0
46332858,9400000.0,476258700,Comedy,"It's a Mad, Mad, Mad, Mad World",G,1963-11-07,192,46300000.0,7.6,,"It's a Mad, Mad, Mad, Mad World",9400000.0
40356000,0.0,475662700,Family Adventure,Swiss Family Robinson,G,1960-12-10,126,40350000.0,7.2,,Swiss Family Robinson,40350000.0
108981275,3000000.0,474578600,Drama,One Flew Over the Cuckoo's Nest,R,1975-11-20,133,112000000.0,8.7,80.0,One Flew Over the Cuckoo's Nest,3000000.0
81600000,3500000.0,474568400,Comedy / Drama,M.A.S.H.,R,1970-01-25,116,81600000.0,7.6,79.0,M.A.S.H.,3500000.0
179870271,28000000.0,473230100,Period Adventure,Indiana Jones and the Temple of Doom,PG,1984-05-23,118,28000000.0,7.6,57.0,Indiana Jones and the Temple of Doom,28000000.0
459005868,250000000.0,473177900,Action / Adventure,Avengers: Age of Ultron,PG-13,2015-05-01,141,250000000.0,7.4,66.0,Avengers: Age of Ultron,250000000.0
310676740,115000000.0,459788400,Sci-Fi Fantasy,Star Wars: Episode II - Attack of the Clones,PG,2002-05-16,132,115000000.0,6.6,54.0,Star Wars: Episode II - Attack of the Clones,115000000.0
219195243,25000000.0,465729900,Family Comedy,Mrs. Doubtfire,PG-13,1993-11-24,125,25000000.0,6.9,53.0,Mrs. Doubtfire,25000000.0
217350219,28000000.0,463590300,Animation,Aladdin,G,1992-11-13,90,0.0,8.0,,Aladdin,28000000.0
415004880,200000000.0,461464500,Animation,Toy Story 3,G,2010-06-18,103,200000000.0,8.3,92.0,Toy Story 3,200000000.0
217631306,22000000.0,454952600,Romance,Ghost,PG-13,1990-07-13,128,217631306.0,7.0,52.0,Ghost,22000000.0
424668047,130000000.0,451853500,Action / Adventure,The Hunger Games: Catching Fire,PG-13,2013-11-22,146,130000000.0,7.6,76.0,The Hunger Games: Catching Fire,130000000.0
20408163,8000000.0,451020400,Western,Duel in the Sun,Unrated,1946-12-31,138,20400000.0,6.9,,Duel in the Sun,8000000.0
408010692,78000000.0,449631200,Action / Adventure,The Hunger Games,PG-13,2012-03-23,142,78000000.0,7.2,68.0,The Hunger Games,78000000.0
305413918,140000000.0,447736200,Period Adventure,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,2003-07-09,135,140000000.0,8.0,63.0,Pirates of the Caribbean: The Curse of the Black Pearl,140000000.0
23750000,1000000.0,446702100,Horror,House of Wax,GP,1953-04-10,90,23750000.0,7.1,,House of Wax,1000000.0
36764313,0.0,417059400,Thriller,Rear Window,PG,1954-08-01,115,1000000.0,8.5,,Rear Window,1000000.0
229086679,73000000.0,441204000,Sci-Fi Horror,The Lost World: Jurassic Park,PG-13,1997-05-23,129,73000000.0,6.5,59.0,The Lost World: Jurassic Park,73000000.0
197171806,48000000.0,436841800,Period Adventure,Indiana Jones and the Last Crusade,PG-13,1989-05-24,127,48000000.0,8.3,65.0,Indiana Jones and the Last Crusade,48000000.0
289916256,115000000.0,398578900,Animation,"Monsters, Inc.",G,2001-11-02,90,115000000.0,8.1,78.0,"Monsters, Inc.",115000000.0
400738009,150000000.0,433522600,Animation,Frozen,PG,2013-11-22,108,0.0,7.5,74.0,Frozen,150000000.0
336530303,258000000.0,432402300,Action / Adventure,Spider-Man 3,PG-13,2007-05-04,140,258000000.0,6.2,59.0,Spider-Man 3,258000000.0
409013994,200000000.0,431465800,Action / Adventure,Iron Man 3,PG-13,2013-05-03,129,200000000.0,7.2,62.0,Iron Man 3,200000000.0
204843345,102000000.0,430122400,Sci-Fi Action,Terminator 2: Judgment Day,R,1991-07-03,137,102000000.0,8.5,75.0,Terminator 2: Judgment Day,102000000.0
16361885,1400000.0,425409000,War,Sergeant York,Unrated,1941-07-02,134,16400000.0,7.8,,Sergeant York,1400000.0
260044825,123000000.0,425264300,Family Comedy,How the Grinch Stole Christmas,PG,2000-11-17,104,0.0,6.0,46.0,How the Grinch Stole Christmas,123000000.0
179800601,0.0,421226600,Action Drama,Top Gun,PG,1986-05-16,110,15000000.0,6.9,50.0,Top Gun,15000000.0
381011219,0.0,424230800,Fantasy,Harry Potter and the Deathly Hallows Part 2,PG-13,2011-07-15,130,125000000.0,8.1,87.0,Harry Potter and the Deathly Hallows Part 2,125000000.0
245852179,90000000.0,422874800,Animation,Toy Story 2,G,1999-11-19,92,90000000.0,7.9,88.0,Toy Story 2,90000000.0
267665011,60000000.0,418049200,Animation,Shrek,PG,2001-05-16,90,0.0,7.9,84.0,Shrek,60000000.0
322719944,160000000.0,414657600,Animation,Shrek the Third,PG,2007-05-18,92,0.0,6.1,58.0,Shrek the Third,160000000.0
368061265,76000000.0,414543800,Animation,Despicable Me 2,PG,2013-07-03,98,0.0,7.4,62.0,Despicable Me 2,76000000.0
408084349,250000000.0,413316300,Action / Adventure,Captain America: Civil War,PG-13,2016-05-06,147,250000000.0,7.9,75.0,Captain America: Civil War,250000000.0
281576461,150000000.0,412792000,Sci-Fi Action,The Matrix Reloaded,R,2003-05-15,138,0.0,7.2,62.0,The Matrix Reloaded,150000000.0
319246193,150000000.0,410194200,Sci-Fi Action,Transformers,PG-13,2007-07-03,143,150000000.0,7.1,61.0,Transformers,150000000.0
174803506,0.0,408429700,Adventure Comedy,Crocodile Dundee,PG-13,1986-09-26,93,174635000.0,6.5,,Crocodile Dundee,174635000.0
9183673,800000.0,405918400,War Drama,The Four Horsemen of the Apocalypse,Unrated,1921-03-06,134,0.0,7.9,,The Four Horsemen of the Apocalypse,800000.0
216540909,70000000.0,404404100,War,Saving Private Ryan,R,1998-07-24,170,70000000.0,8.6,90.0,Saving Private Ryan,70000000.0
86273333,2800000.0,403521800,Horror Comedy,Young Frankenstein,PG,1974-12-15,106,86300000.0,8.0,80.0,Young Frankenstein,2800000.0
87404651,4000000.0,288098500,Animation,Peter Pan,G,1953-02-05,76,87400000.0,7.3,,Peter Pan,4000000.0
153083102,0.0,389824200,Horror Comedy,Gremlins,PG,1984-06-08,106,11000000.0,7.2,70.0,Gremlins,11000000.0
291710957,180000000.0,399357700,Fantasy,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,2005-12-09,132,180000000.0,6.9,75.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000.0
290013036,150000000.0,399349400,Fantasy,Harry Potter and the Goblet of Fire,PG-13,2005-11-18,153,150000000.0,7.7,81.0,Harry Potter and the Goblet of Fire,150000000.0
309420425,300000000.0,397569300,Period Adventure,Pirates of the Caribbean: At World's End,PG-13,2007-05-25,168,300000000.0,7.1,50.0,Pirates of the Caribbean: At World's End,300000000.0
261988482,100000000.0,397056400,Fantasy,Harry Potter and the Chamber of Secrets,PG,2002-11-15,161,100000000.0,7.4,63.0,Harry Potter and the Chamber of Secrets,100000000.0
183875760,0.0,392472300,Action Thriller,The Fugitive,PG-13,1993-08-06,130,44000000.0,7.8,88.0,The Fugitive,44000000.0
21750000,0.0,392387800,Drama,The Caine Mutiny,Unrated,1954-06-24,124,21750000.0,7.9,,The Caine Mutiny,21750000.0
318412101,140000000.0,392017400,Action / Adventure,Iron Man,PG-13,2008-05-02,126,140000000.0,7.9,79.0,Iron Man,140000000.0
352390543,195000000.0,391266300,Sci-Fi Action,Transformers: Dark of the Moon,PG-13,2011-06-29,154,195000000.0,6.3,42.0,Transformers: Dark of the Moon,195000000.0
279261160,80000000.0,390489500,Comedy,Meet the Fockers,PG-13,2004-12-22,114,80000000.0,6.3,41.0,Meet the Fockers,80000000.0
317101119,185000000.0,390414200,Period Adventure,Indiana Jones and the Kingdom of the Crystal Skull,PG-13,2008-05-22,120,185000000.0,6.2,65.0,Indiana Jones and the Kingdom of the Crystal Skull,185000000.0
191796233,0.0,387796000,Animation,Toy Story,G,1995-11-22,81,30000000.0,8.3,95.0,Toy Story,30000000.0
184208848,22000000.0,386301800,Western,Dances with Wolves,PG-13,1990-11-09,183,22000000.0,8.0,72.0,Dances with Wolves,22000000.0
129795554,0.0,385926600,Romance,An Officer and a Gentleman,R,1982-07-30,122,129795554.0,7.0,75.0,An Officer and a Gentleman,129795554.0
56954992,12000000.0,382720500,Sci-Fi Adventure,2001: A Space Odyssey,G,1968-04-03,139,56715371.0,8.3,86.0,2001: A Space Odyssey,12000000.0
172825435,25000000.0,382698600,Drama,Rain Man,R,1988-12-16,133,25000000.0,8.0,65.0,Rain Man,25000000.0
368384330,75000000.0,382540500,Animation,The Secret Life of Pets,PG,2016-07-08,90,0.0,6.6,61.0,The Secret Life of Pets,75000000.0
56666667,4000000.0,382391900,Drama,Guess Who's Coming to Dinner,Unrated,1967-12-11,108,4000000.0,7.8,63.0,Guess Who's Coming to Dinner,4000000.0
356461711,175000000.0,381769500,Animation,Inside Out,PG,2015-06-19,94,175000000.0,8.2,94.0,Inside Out,175000000.0
350126372,58800000.0,380827200,Drama,American Sniper,R,2014-12-25,132,58800000.0,7.3,72.0,American Sniper,58800000.0
106260000,0.0,380298900,Drama,Kramer Vs. Kramer,PG,1979-12-19,105,8000000.0,7.8,77.0,Kramer Vs. Kramer,8000000.0
201578182,140000000.0,379946900,Sci-Fi Action,Armageddon,PG-13,1998-07-01,144,0.0,6.6,42.0,Armageddon,140000000.0
