actual_dtg,budget,domestic total gross,genre,movie title,rating,release date,runtime (mins)
423315812,225000000.0,571314800,Period Adventure,Pirates of the Caribbean: Dead Man's Chest,PG-13,2006-07-07,151
42000000,6000000.0,571200000,Adventure Comedy,Around the World in 80 Days,G,1956-10-17,188
102247150,,98222200,Animation,Bambi,G,1942-08-21,69
119601481,,558931200,Western Comedy,Blazing Saddles,R,1974-02-07,93
251188924,35000000.0,556518800,Action / Adventure,Batman,PG-13,1989-06-23,126
21333333,,554666700,Drama,The Bells of St. Mary's,Unrated,1945-12-07,126
377845905,94000000.0,543997100,Fantasy,The Lord of the Rings: The Return of the King,PG-13,2003-12-17,200
380843261,94000000.0,498023300,Animation,Finding Nemo,G,2003-05-30,104
116000000,14000000.0,542560900,Action Thriller,The Towering Inferno,PG,1974-12-14,165
532177324,200000000.0,534312600,Sci-Fi Adventure,Rogue One: A Star Wars Story,PG-13,2016-12-16,133
93141149,,166792500,Animation,Cinderella,G,1950-03-04,74
373585825,200000000.0,531803300,Action / Adventure,Spider-Man 2,PG-13,2004-06-30,127
72000000,17000000.0,530400000,Musical,My Fair Lady,G,1964-10-21,170
36000000,4000000.0,530400000,Drama,The Greatest Showman on Earth,Unrated,1952-01-10,152
141600000,,453677600,Comedy,National Lampoon's Animal House,R,1978-07-28,109
370782930,30000000.0,527089800,Historical Drama,The Passion of the Christ,R,2004-02-25,126
380270577,113000000.0,524429300,Sci-Fi Fantasy,Star Wars: Episode III - Revenge of the Sith,PG-13,2005-05-19,146
210609762,19000000.0,522007800,Sci-Fi Adventure,Back to the Future,PG,1985-07-03,111
342551365,94000000.0,506525500,Fantasy,The Lord of the Rings: The Two Towers,PG-13,2002-12-18,179
448139099,250000000.0,509023200,Action Thriller,The Dark Knight Rises,PG-13,2012-07-20,165
293506292,40000000.0,508999500,Horror,The Sixth Sense,PG-13,1999-08-06,107
134218018,55000000.0,507045800,Action / Adventure,Superman,PG,1978-12-15,143
503860035,160000000.0,503860000,Fantasy,Beauty and the Beast,PG,2017-03-17,129
177200000,21000000.0,503030800,Comedy,Tootsie,PG,1982-12-17,119
126737428,,502403100,Action Comedy,Smokey and the Bandit,PG,1977-05-27,96
486295561,,496437500,Animation,Finding Dory,PG,2016-06-17,103
43656822,6000000.0,494777300,Musical,West Side Story,Unrated,1961-10-18,151
317575550,125000000.0,494270700,Fantasy,Harry Potter and the Sorcerer's Stone,PG,2001-11-16,153
93602326,4000000.0,335850400,Animation,Lady and the Tramp,G,1955-06-22,75
132088635,20000000.0,439716200,Sci-Fi,Close Encounters of the Third Kind,PG,1977-11-16,137
44824144,,473513200,Historical Epic,Lawrence of Arabia,PG,1962-12-21,216
112892319,,486813700,Musical,The Rocky Horror Picture Show,R,1975-09-26,100
117235147,,486553400,Sports Drama,Rocky,PG,1976-11-21,119
23650000,,486200000,Drama,The Best Years of Our Lives,Unrated,1946-11-21,172
84563118,,485333300,Action Drama,The Poseidon Adventure,PG,1972-12-13,117
315544750,93000000.0,481512600,Fantasy,The Lord of the Rings: The Fellowship of the Ring,PG-13,2001-12-19,178
241721524,92000000.0,483443100,Action Drama,Twister,PG-13,1996-05-10,113
250690539,90000000.0,482811400,Sci-Fi Comedy,Men in Black,PG-13,1997-07-02,97
27200000,3000000.0,480896000,War Drama,The Bridge on the River Kwai,PG,1957-12-18,161
402111870,200000000.0,476484200,Sci-Fi Action,Transformers: Revenge of the Fallen,PG-13,2009-06-24,144
46332858,9400000.0,476258700,Comedy,"It's a Mad, Mad, Mad, Mad World",G,1963-11-07,192
40356000,,475662700,Family Adventure,Swiss Family Robinson,G,1960-12-10,126
108981275,3000000.0,474578600,Drama,One Flew Over the Cuckoo's Nest,R,1975-11-20,133
81600000,3500000.0,474568400,Comedy / Drama,M.A.S.H.,R,1970-01-25,116
179870271,28000000.0,473230100,Period Adventure,Indiana Jones and the Temple of Doom,PG,1984-05-23,118
459005868,250000000.0,473177900,Action / Adventure,Avengers: Age of Ultron,PG-13,2015-05-01,141
310676740,115000000.0,459788400,Sci-Fi Fantasy,Star Wars: Episode II - Attack of the Clones,PG,2002-05-16,132
219195243,25000000.0,465729900,Family Comedy,Mrs. Doubtfire,PG-13,1993-11-24,125
217350219,28000000.0,463590300,Animation,Aladdin,G,1992-11-13,90
415004880,200000000.0,461464500,Animation,Toy Story 3,G,2010-06-18,103
217631306,22000000.0,454952600,Romance,Ghost,PG-13,1990-07-13,128
424668047,130000000.0,451853500,Action / Adventure,The Hunger Games: Catching Fire,PG-13,2013-11-22,146
20408163,8000000.0,451020400,Western,Duel in the Sun,Unrated,1946-12-31,138
408010692,78000000.0,449631200,Action / Adventure,The Hunger Games,PG-13,2012-03-23,142
305413918,140000000.0,447736200,Period Adventure,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,2003-07-09,135
23750000,1000000.0,446702100,Horror,House of Wax,GP,1953-04-10,90
36764313,,417059400,Thriller,Rear Window,PG,1954-08-01,115
229086679,73000000.0,441204000,Sci-Fi Horror,The Lost World: Jurassic Park,PG-13,1997-05-23,129
197171806,48000000.0,436841800,Period Adventure,Indiana Jones and the Last Crusade,PG-13,1989-05-24,127
289916256,115000000.0,398578900,Animation,"Monsters, Inc.",G,2001-11-02,90
400738009,150000000.0,433522600,Animation,Frozen,PG,2013-11-22,108
336530303,258000000.0,432402300,Action / Adventure,Spider-Man 3,PG-13,2007-05-04,140
409013994,200000000.0,431465800,Action / Adventure,Iron Man 3,PG-13,2013-05-03,129
204843345,102000000.0,430122400,Sci-Fi Action,Terminator 2: Judgment Day,R,1991-07-03,137
16361885,1400000.0,425409000,War,Sergeant York,Unrated,1941-07-02,134
260044825,123000000.0,425264300,Family Comedy,How the Grinch Stole Christmas,PG,2000-11-17,104
179800601,,421226600,Action Drama,Top Gun,PG,1986-05-16,110
381011219,,424230800,Fantasy,Harry Potter and the Deathly Hallows Part 2,PG-13,2011-07-15,130
245852179,90000000.0,422874800,Animation,Toy Story 2,G,1999-11-19,92
267665011,60000000.0,418049200,Animation,Shrek,PG,2001-05-16,90
322719944,160000000.0,414657600,Animation,Shrek the Third,PG,2007-05-18,92
368061265,76000000.0,414543800,Animation,Despicable Me 2,PG,2013-07-03,98
408084349,250000000.0,413316300,Action / Adventure,Captain America: Civil War,PG-13,2016-05-06,147
