actual_dtg,budget,domestic total gross,genre,movie title,rating,release date,runtime (mins)
"$217,350,219",$28 million,"$463,590,300",Animation,Aladdin,G,"November 13, 1992",1 hrs. 30 min.
"$415,004,880",$200 million,"$461,464,500",Animation,Toy Story 3,G,"June 18, 2010",1 hrs. 43 min.
"$217,631,306",$22 million,"$454,952,600",Romance,Ghost,PG-13,"July 13, 1990",2 hrs. 8 min.
"$424,668,047",$130 million,"$451,853,500",Action / Adventure,The Hunger Games: Catching Fire,PG-13,"November 22, 2013",2 hrs. 26 min.
"$20,408,163",$8 million,"$451,020,400",Western,Duel in the Sun,Unrated,"December 31, 1946",2 hrs. 18 min.
"$408,010,692",$78 million,"$449,631,200",Action / Adventure,The Hunger Games,PG-13,"March 23, 2012",2 hrs. 22 min.
"$305,413,918",$140 million,"$447,736,200",Period Adventure,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,"July 9, 2003",2 hrs. 15 min.
"$23,750,000","$1,000,000","$446,702,100",Horror,House of Wax,GP,"April 10, 1953",1 hrs. 30 min.
"$36,764,313",N/A,"$417,059,400",Thriller,Rear Window,PG,"August 1, 1954",1 hrs. 55 min.
"$229,086,679",$73 million,"$441,204,000",Sci-Fi Horror,The Lost World: Jurassic Park,PG-13,"May 23, 1997",2 hrs. 9 min.
"$197,171,806",$48 million,"$436,841,800",Period Adventure,Indiana Jones and the Last Crusade,PG-13,"May 24, 1989",2 hrs. 7 min.
"$289,916,256",$115 million,"$398,578,900",Animation,"Monsters, Inc.",G,"November 2, 2001",1 hrs. 30 min.
"$400,738,009",$150 million,"$433,522,600",Animation,Frozen,PG,"November 22, 2013",1 hrs. 48 min.
"$336,530,303",$258 million,"$432,402,300",Action / Adventure,Spider-Man 3,PG-13,"May 4, 2007",2 hrs. 20 min.
"$409,013,994",$200 million,"$431,465,800",Action / Adventure,Iron Man 3,PG-13,"May 3, 2013",2 hrs. 9 min.
"$204,843,345",$102 million,"$430,122,400",Sci-Fi Action,Terminator 2: Judgment Day,R,"July 3, 1991",2 hrs. 17 min.
